pedagogy	教学法；教育法
curriculum	课程；课程体系
syllabus	教学大纲
lesson	课；课时
classroom	课堂；教室
instruction	教学；讲授
teaching	教学
learning	学习
acquisition	习得；获取
learner	学习者
teacher	教师
educator	教育工作者
bilingual	双语的
multilingual	多语的
monolingual	单语的
foreign	外语的
native	母语的；本地的
tongue	母语；舌头
proficiency	熟练度；语言水平
competence	能力；胜任力
fluency	流利度
accuracy	准确性
vocabulary	词汇；词汇量
lexicon	词汇表；语汇
lexical	词汇的
phrase	短语
idiom	习语；惯用语
collocation	搭配
semantics	语义学
morphology	词法学
syntax	句法学；句法
grammar	语法
phonetics	语音学
phonology	音系学
pronunciation	发音
accent	口音
intonation	语调
syllable	音节
spelling	拼写
punctuation	标点符号
discourse	语篇；话语
pragmatics	语用学
register	语域
genre	体裁；类型
reading	阅读
writing	写作
listening	听力
speaking	口语
communication	交际；沟通
communicative	交际的
interaction	互动；交互
conversation	会话
task	任务
activity	活动
exercise	练习
drill	操练；句型训练
material	材料；教材
textbook	课本；教科书
handout	讲义；材料
worksheet	练习单；工作表
assessment	测评；评估
evaluation	评价
testing	测试；测验
examination	考试
feedback	反馈
correction	纠错；订正
error	错误
mistake	失误；错误
scaffolding	支架式教学
mediation	中介；调解
input	输入
output	输出
exposure	接触；暴露（语言环境）
immersion	沉浸式教学
intervention	干预；介入
strategy	策略
motivation	动机
autonomy	自主性；自主学习
retention	保持；记忆留存
recall	回忆；提取
memory	记忆
cognition	认知
cognitive	认知的
metacognition	元认知
metacognitive	元认知的
skill	技能
ability	能力
performance	表现；成绩
outcome	结果；学习成果
objective	目标；客观的
benchmark	基准；对标
criterion	标准；判据
rubric	评分量表
formative	形成性的
summative	总结性的
portfolio	档案袋（作品集评价）
diagnostic	诊断性的
achievement	成就；成绩
tutorial	辅导课；教程
seminar	研讨课
workshop	工作坊
lecture	讲座；讲授
role-play	角色扮演
debate	辩论
presentation	汇报；演示
translation	翻译；译文
interpretation	口译；释义
authentic	真实的；原汁原味的
meaningful	有意义的
contextual	语境的
inference	推断
prediction	预测
skimming	略读
scanning	扫读
cloze	完形填空
dictation	听写
recitation	背诵；朗读
essay	短文；作文
paragraph	段落
coherence	连贯性
cohesion	衔接；凝聚力
topic	话题；主题
theme	主题；主旨
subject	学科；科目
