phosphorus	磷；磷元素
phosphate	磷酸盐；磷酸根
orthophosphate	正磷酸盐
polyphosphate	聚磷酸盐
phosphite	亚磷酸盐
phosphine	磷化氢
phosphonate	膦酸酯
apatite	磷灰石
mineral	矿物
ore	矿石
fertilizer	肥料；化肥
manure	粪肥
sludge	污泥
struvite	鸟粪石（磷酸铵镁）
wastewater	废水
sewage	污水
effluent	出水；排放水
sediment	沉积物
soil	土壤
subsoil	底土
bedrock	基岩
weathering	风化作用
leaching	淋溶；淋洗
erosion	侵蚀
runoff	径流
deposition	沉降；沉积
sedimentation	沉积作用
sorption	吸附作用
desorption	解吸
adsorption	吸附
bioavailability	生物可利用性
mobilization	动员；活化
immobilization	固定
speciation	形态；赋存形态
pool	库；蓄积池
reservoir	储库；蓄积体
stock	存量；库（动态系统）
sink	汇
source	源
flux	通量
budget	收支平衡；预算
balance	平衡
turnover	周转
circulation	循环
pathway	途径
flow	流；流动
transport	输送；迁移
transfer	转移
transformation	转化
conversion	转换
fate	归宿；去向
emission	排放
release	释放
discharge	排放；排出
accumulation	累积
enrichment	富集
depletion	耗竭
scarcity	稀缺
abundance	丰度；丰沛度
footprint	足迹；环境足迹
lifecycle	生命周期
cycle	周期；循环
assessment	评价；评估
evaluation	评估
inventory	清单；盘存
allocation	分配；分摊
boundary	边界；系统边界
functional	功能的
unit	单位；单元
characterization	特征化
normalization	归一化
weighting	加权
indicator	指标
metric	度量指标
scenario	情景
baseline	基准；基线
projection	预测
forecast	预测
simulation	模拟
modelling	建模
uncertainty	不确定性
sensitivity	敏感性
variability	变异性
analysis	分析
aggregation	聚合
dataset	数据集
distribution	分布
probability	概率
efficiency	效率
utilization	利用
exploitation	开采；开发
extraction	开采；提取
recovery	回收；恢复
reuse	再利用
recycling	循环利用
circularity	循环性
secondary	次级的；再生的
primary	初级的；原生的
residual	残余的
waste	废物
byproduct	副产品
co-product	联产品
residue	残余物
sustainability	可持续性
sustainable	可持续的
environmental	环境的
ecological	生态的
anthropogenic	人为的
terrestrial	陆地的
aquatic	水生的
freshwater	淡水
marine	海洋的
coastal	沿海的
riverine	河流的
watershed	流域
catchment	集水区；汇水区
basin	流域；盆地
lagoon	潟湖；泻湖
estuary	河口
oceanic	大洋的
eutrophication	富营养化
algal	藻类的
bloom	水华
hypoxia	缺氧
anoxia	无氧
productivity	生产力
production	生产
consumption	消费
demand	需求
supply	供给
crop	作物
yield	产量
harvest	收获
nutrient	养分；营养物质
macronutrient	大量营养元素
uptake	吸收
assimilation	同化
metabolism	代谢
decomposition	分解
mineralization	矿化
denitrification	反硝化
nitrogen	氮
carbon	碳
oxygen	氧
global	全球的
regional	区域的
national	国家的
continental	大陆的
subcontinental	次大陆的
interannual	年际的
decadal	十年尺度的
trend	趋势
magnitude	量级
proportion	比例
fraction	份额；部分
content	含量
concentration	浓度
intensity	强度
indicator	指标
trade	贸易
import	进口
export	出口
governance	治理
policy	政策
regulation	法规
strategy	战略；策略
innovation	创新
technology	技术
infrastructure	基础设施
restoration	修复
remediation	修复
contamination	污染
pollution	污染
biosphere	生物圈
lithosphere	岩石圈
hydrosphere	水圈
atmosphere	大气圈
cascade	级联
dynamics	动力学；动态
equilibrium	平衡态
steady-state	稳态

# ---- 粮食 / 食品 / 营养 领域（Nature Food 等）----
agriculture	农业；农学
agrifood	农业食品的
agronomic	农艺学的
nutrition	营养；营养学
nutritional	营养的
nutritious	有营养的
nutrient	营养素
malnutrition	营养不良
undernutrition	营养不足
overnutrition	营养过剩
diet	饮食；膳食
dietary	膳食的
intake	摄入
consumption	消费；摄入
consumer	消费者
food	食物；食品
foodstuff	粮食；食品原料
foodborne	食源性的
foodshed	食物供应圈
grain	谷物；粮食
cereal	谷类；谷物
wheat	小麦
maize	玉米
rice	水稻；大米
soybean	大豆
legume	豆类
pulse	豆类籽粒
tuber	块茎
potato	马铃薯
vegetable	蔬菜
fruit	水果
horticulture	园艺
livestock	牲畜
poultry	家禽
aquaculture	水产养殖
fishery	渔业
seafood	海鲜；水产品
meat	肉类
dairy	乳制品
yield	产量；产率
yield	产量
protein	蛋白质
carbohydrate	碳水化合物
starch	淀粉
sugar	糖
lipid	脂质
fat	脂肪
oilseed	油料作物
calorie	卡路里
energy	能量
macronutrient	常量营养素
micronutrient	微量营养素
vitamin	维生素
mineral	矿物质
calcium	钙
iron	铁
zinc	锌
folate	叶酸
iodine	碘
biofortification	生物强化
fortification	营养强化
supplementation	补充剂；补充
bioavailability	生物利用率
digestibility	可消化性
absorption	吸收
metabolism	代谢
appetite	食欲
satiety	饱腹感
obesity	肥胖
stunting	生长迟缓
wasting	消瘦
anaemia	贫血
processing	加工
process	加工；过程
ultraprocessed	超加工的
refined	精制的
wholegrain	全谷物
fibre	膳食纤维
salt	盐
sodium	钠
additive	添加剂
preservative	防腐剂
contaminant	污染物
residue	残留
pesticide	农药
mycotoxin	真菌毒素
acrylamide	丙烯酰胺
safety	安全
label	标签
labelling	标签标识
packaging	包装
shelf-life	保质期
perishable	易腐的
storage	储藏
supply	供应
supply-chain	供应链
value-chain	价值链
market	市场
retail	零售
wholesale	批发
price	价格
trade	贸易
subsidy	补贴
policy	政策
governance	治理
security	安全；保障
sovereignty	主权
burden	负担
waste	浪费；废弃物
loss	损失；损耗
losses	损耗
leftover	剩饭菜
surplus	剩余
chain	链条
logistics	物流
cold	冷链（冷藏）
prevalence	流行率
burden	负担（疾病）
sustainable	可持续的
resilience	韧性
sovereignty	主粮主权
